pygeostat_saved_data
3
x
y
grade
349 15 20.98431
231 399 10.38039
386 430 19.35294
151 386 23.83922
50 272 27.10196
76 291 17.51765
162 92 11.80784
286 88 33.42353
144 435 28.52941
252 277 21.59608
467 170 36.07451
395 477 17.51765
198 50 11.80784
85 276 13.43922
254 146 41.58039
436 173 36.07451
380 457 16.09020
496 393 26.49020
491 442 26.08235
71 204 31.38431
429 490 25.47059
204 412 18.53725
380 485 18.94510
412 324 20.98431
85 124 11.80784
382 345 28.73333
341 206 43.82353
199 491 32.20000
330 93 34.44314
49 480 22.81961
93 445 37.09412
458 478 31.99608
384 418 18.53725
359 38 36.48235
247 16 46.27059
234 181 41.58039
423 289 33.01569
11 386 33.01569
380 107 33.01569
94 429 28.12157
191 231 21.59608
428 420 17.10980
51 458 22.61569
16 444 25.26667
362 53 27.91765
83 491 26.28627
478 385 30.36471
191 178 35.25882
347 449 10.78824
141 324 13.23529
217 336 15.88627
162 199 22.41176
34 158 21.39216
26 19 28.52941
145 453 31.18039
139 256 17.10980
18 18 29.95686
42 369 30.97647
451 487 30.97647
219 29 27.71373
143 365 19.55686
1 418 26.69412
156 487 31.79216
313 222 45.86275
189 328 28.52941
390 106 42.80392
239 141 40.35686
2 59 30.56863
319 301 35.25882
310 320 16.90588
462 323 32.60784
115 286 13.23529
249 121 35.25882
168 473 30.97647
199 374 12.62353
484 61 33.62745
386 93 46.47451
138 192 16.70196
455 293 35.66667
340 209 44.23137
55 335 27.10196
441 137 39.74510
457 46 46.88235
87 104 11.60392
384 324 29.95686
297 307 17.31373
287 111 31.18039
74 111 12.21569
129 288 13.64314
229 42 26.49020
427 492 25.06275
204 222 30.16078
384 351 34.03529
24 132 22.00392
84 26 4.87451
455 240 32.20000
90 239 15.07059
21 304 30.97647
299 435 15.27451
231 40 32.20000
367 162 29.75294
101 109 12.21569
304 74 47.29020
245 34 37.90980
64 189 11.80784
465 207 24.45098
324 133 17.72157
254 355 14.25490
470 219 46.06667
134 389 24.45098
92 94 13.23529
170 24 12.82745
410 150 38.72549
247 160 40.15294
285 110 31.18039
49 492 20.16863
99 279 12.82745
462 498 33.83137
70 108 10.38039
417 341 20.78039
22 244 19.76078
267 499 8.13725
255 122 35.66667
325 489 12.82745
252 408 13.03137
