pygeostat_saved_data
3
x
y
grade
0 0 32.20000
0 50 30.16078
0 100 25.47059
0 150 33.01569
0 200 25.87843
0 250 25.26667
0 300 29.34510
0 350 33.62745
0 400 30.77255
0 450 27.71373
50 0 28.52941
50 50 18.33333
50 100 6.50588
50 150 8.13725
50 200 8.13725
50 250 13.43922
50 300 27.71373
50 350 29.54902
50 400 28.12157
50 450 24.04314
100 0 9.15686
100 50 10.99216
100 100 11.60392
100 150 13.64314
100 200 13.84706
100 250 17.51765
100 300 10.78824
100 350 13.84706
100 400 24.85882
100 450 42.39608
150 0 13.23529
150 50 12.62353
150 100 11.80784
150 150 18.53725
150 200 14.25490
150 250 19.96471
150 300 17.10980
150 350 26.08235
150 400 30.97647
150 450 30.16078
200 0 15.88627
200 50 13.64314
200 100 28.12157
200 150 33.21961
200 200 40.76471
200 250 23.83922
200 300 18.12941
200 350 14.05098
200 400 19.96471
200 450 24.85882
250 0 47.49412
250 50 33.21961
250 100 36.68627
250 150 41.58039
250 200 42.80392
250 250 34.64706
250 300 18.53725
250 350 15.07059
250 400 10.99216
250 450 8.54510
300 0 44.84314
300 50 28.93725
300 100 45.25098
300 150 39.54118
300 200 45.25098
300 250 43.41569
300 300 21.39216
300 350 15.07059
300 400 13.43922
300 450 13.43922
350 0 43.61961
350 50 30.97647
350 100 41.98824
350 150 19.96471
350 200 43.82353
350 250 46.67843
350 300 39.54118
350 350 19.55686
350 400 13.84706
350 450 12.01176
400 0 35.46275
400 50 44.84314
400 100 46.47451
400 150 38.92941
400 200 24.65490
400 250 24.65490
400 300 31.79216
400 350 23.02353
400 400 24.45098
400 450 21.80000
450 0 34.85098
450 50 46.88235
450 100 43.00784
450 150 39.13333
450 200 25.06275
450 250 33.21961
450 300 19.76078
450 350 19.55686
450 400 24.45098
450 450 18.53725
